student_id,subject,score,grade,passed
1,English,51,D,True
2,English,88,A,True
3,Science,98,B,False
4,Science,70,D,True
5,Art,68,A,True
6,English,44,A,True
7,Math,91,A,True
8,History,64,C,True
9,English,80,A,False
10,English,70,F,True
11,Science,60,B,True
12,History,97,C,True
13,Art,59,B,True
14,English,78,B,True
15,Art,61,C,True
16,English,43,C,True
17,Art,52,C,True
18,History,84,C,True
19,Science,81,D,True
20,History,89,D,False
21,Math,88,C,True
22,Science,59,A,True
23,History,91,A,True
24,Math,52,B,True
25,English,56,C,True
26,English,93,B,True
27,Art,75,B,True
28,Science,72,D,True
29,English,40,D,True
30,Science,54,D,True
31,English,52,B,False
32,Art,56,C,True
33,History,63,B,True
34,Art,97,A,False
35,Math,47,A,False
36,English,89,B,True
37,Math,66,B,True
38,Math,84,D,True
39,Science,62,A,True
40,English,85,C,True
41,Math,47,C,True
42,History,47,B,True
43,Math,98,B,True
44,History,65,B,True
45,Science,86,C,True
46,Math,98,B,True
47,Art,52,A,True
48,Science,78,A,True
49,History,76,C,False
50,Science,88,D,True
51,Math,67,B,True
52,English,64,C,True
53,English,55,C,True
54,History,94,D,False
55,History,41,D,True
56,English,93,C,True
57,History,57,C,True
58,Science,56,D,True
59,Art,69,B,True
60,Art,78,B,True
61,Science,52,A,True
62,Art,71,D,True
63,Math,89,D,True
64,Science,68,A,False
65,History,85,C,True
66,Science,69,B,True
67,English,57,A,True
68,History,52,F,False
69,English,82,B,True
70,History,60,A,True
71,Art,69,C,True
72,Science,60,C,True
73,Math,87,A,True
74,History,94,C,True
75,History,56,C,True
76,English,79,A,True
77,Art,58,A,True
78,English,91,C,True
79,English,54,B,True
80,Art,48,D,True
81,Math,91,D,True
82,English,49,F,True
83,English,83,B,True
84,History,70,F,True
85,Art,92,B,True
86,Science,62,B,True
87,Math,91,A,True
88,Math,69,A,True
89,Art,72,C,True
90,History,96,B,True
91,History,91,B,True
92,Art,48,C,True
93,History,93,B,True
94,Math,86,C,True
95,Math,40,B,False
96,Science,83,D,False
97,Art,74,D,True
98,English,50,B,True
99,English,73,B,True
100,Science,55,B,True
101,Science,48,D,True
102,History,71,B,True
103,Science,54,B,True
104,Science,51,A,True
105,English,72,B,True
106,History,84,B,True
107,Science,53,D,True
108,Science,96,B,True
109,History,96,B,True
110,Art,47,D,True
111,History,47,D,True
112,English,66,B,False
113,Art,51,B,True
114,Math,40,B,False
115,History,82,D,False
116,English,79,A,True
117,Art,81,D,True
118,History,90,C,True
119,Science,50,C,False
120,History,78,A,True
121,Math,82,B,True
122,History,70,B,True
123,Art,56,A,True
124,Art,72,C,True
125,History,71,F,True
126,Art,97,C,True
127,Science,68,C,False
128,History,60,A,True
129,Science,60,B,False
130,Science,79,A,True
131,English,62,C,True
132,History,95,D,True
133,Art,45,C,True
134,Science,61,A,True
135,English,89,B,True
136,History,77,C,True
137,History,76,B,False
138,Math,84,D,False
139,Math,90,D,True
140,Science,93,C,True
141,Math,47,B,True
142,Science,80,B,True
143,Art,88,A,False
144,Science,74,B,True
145,Math,90,B,True
146,Art,50,C,False
147,Math,63,C,True
148,Science,88,A,True
149,English,60,B,True
150,History,90,A,True
151,Math,41,A,True
152,Science,79,D,True
153,Art,58,A,True
154,Math,78,B,True
155,Math,67,A,True
156,History,98,D,True
157,Science,56,C,True
158,English,45,B,True
159,Art,58,C,True
160,Science,95,C,True
161,Art,77,F,True
162,Math,67,B,True
163,History,41,D,True
164,History,77,D,True
165,English,94,D,True
166,History,76,C,True
167,Math,90,C,True
168,English,91,B,True
169,Science,43,C,True
170,History,61,C,True
171,English,65,C,True
172,Math,88,B,False
173,Art,82,C,True
174,Art,75,D,True
175,Math,97,A,True
176,Math,52,D,True
177,Art,91,C,True
178,English,97,D,True
179,Art,71,B,True
180,Math,56,B,True
181,History,80,D,True
182,Science,75,B,True
183,History,94,D,True
184,History,99,B,True
185,Math,85,C,False
186,Art,58,B,True
187,English,97,C,False
188,History,99,B,True
189,Art,74,A,True
190,English,85,B,True
191,History,79,A,True
192,English,95,F,True
193,Art,98,F,True
194,Science,67,B,True
195,Art,40,C,False
196,Math,81,B,True
197,English,57,C,True
198,Science,87,D,True
199,English,79,D,True
200,English,72,B,True
