order_id,category,price,rating,quantity,returned
1,Clothing,147.95,2.9,9,False
2,Books,437.65,3.8,5,False
3,Sports,65.16,3.9,4,True
4,Sports,354.81,3.8,5,False
5,Sports,274.94,1.5,5,False
6,Home,57.3,2.2,8,False
7,Electronics,128.53,2.4,8,False
8,Sports,16.08,4.2,2,False
9,Clothing,239.7,2.1,7,False
10,Sports,157.62,1.8,8,False
11,Home,303.2,4.8,6,False
12,Clothing,155.65,1.0,5,False
13,Home,156.96,5.0,9,False
14,Clothing,374.16,3.7,3,False
15,Books,33.59,4.3,4,False
16,Electronics,452.42,2.2,9,False
17,Electronics,427.61,1.1,6,False
18,Home,337.22,4.0,8,False
19,Electronics,300.68,4.3,7,False
20,Home,447.23,4.0,2,False
21,Home,100.81,1.6,3,False
22,Home,48.69,4.0,1,False
23,Electronics,127.36,4.1,9,False
24,Home,399.34,3.6,7,True
25,Electronics,26.99,4.1,1,False
26,Home,295.58,4.4,3,False
27,Sports,497.76,3.5,4,False
28,Home,429.29,1.4,4,False
29,Clothing,265.51,3.0,5,False
30,Home,41.18,1.3,3,False
31,Books,417.37,2.6,3,False
32,Home,303.5,2.6,1,False
33,Clothing,66.32,1.3,7,False
34,Clothing,55.99,2.4,1,False
35,Electronics,455.72,1.4,2,True
36,Sports,337.91,4.2,4,False
37,Home,416.35,4.8,4,True
38,Electronics,440.7,1.3,5,False
39,Sports,290.17,4.8,2,False
40,Home,263.55,3.1,4,False
41,Books,220.91,2.2,1,False
42,Home,165.3,1.3,2,False
43,Clothing,222.95,3.0,1,False
44,Clothing,389.2,4.2,4,True
45,Books,304.94,3.8,4,False
46,Electronics,447.34,1.2,7,False
47,Sports,227.26,1.3,9,False
48,Home,307.47,2.6,9,False
49,Clothing,319.34,2.2,5,False
50,Electronics,299.93,1.9,1,True
51,Books,354.29,2.1,1,False
52,Clothing,126.34,4.2,6,False
53,Books,261.06,4.7,2,False
54,Home,61.07,2.6,8,True
55,Sports,198.41,4.6,9,False
56,Clothing,248.96,2.3,4,False
57,Clothing,329.59,2.9,5,False
58,Home,475.76,1.9,8,False
59,Electronics,304.32,3.6,3,True
60,Sports,374.36,4.9,5,False
61,Clothing,258.07,3.4,3,False
62,Sports,320.71,2.4,3,False
63,Clothing,44.76,3.6,3,False
64,Sports,134.65,1.5,7,True
65,Books,187.31,4.6,7,False
66,Clothing,241.52,3.0,7,False
67,Sports,32.37,2.8,8,False
68,Electronics,78.61,3.3,5,False
69,Books,145.64,3.5,5,False
70,Books,486.05,1.3,4,False
71,Electronics,172.36,3.7,7,False
72,Sports,246.2,2.0,4,False
73,Home,106.09,3.9,2,False
74,Electronics,309.28,4.3,4,False
75,Sports,147.53,4.2,8,False
76,Electronics,111.43,3.2,9,True
77,Electronics,263.12,3.1,3,False
78,Clothing,12.7,1.6,7,False
79,Sports,13.76,4.1,9,False
80,Home,117.34,2.1,4,False
81,Clothing,27.99,3.0,3,False
82,Electronics,62.93,2.1,5,False
83,Electronics,176.04,1.5,1,False
84,Electronics,403.27,3.5,3,False
85,Sports,290.3,1.2,8,False
86,Sports,261.21,4.0,8,False
87,Clothing,153.81,2.3,4,False
88,Home,466.56,1.0,2,False
89,Clothing,204.54,3.0,8,False
90,Books,52.68,1.2,8,False
91,Electronics,312.36,2.1,4,False
92,Electronics,65.78,3.8,3,False
93,Electronics,179.16,1.3,2,False
94,Clothing,258.63,4.4,9,True
95,Clothing,438.37,1.0,1,False
96,Electronics,251.84,2.0,7,False
97,Clothing,354.11,4.0,5,False
98,Sports,496.48,2.3,8,True
